"","dico_meus_sui_volo_habeo_jam_neo","idem_is_coepio_alius_omnis_meus_rideo","magnus_suus_venio_omnis_nitor_malus_tantus","omnis_sui_meus_jam_facio_tamquam_multus","sui_omnis_meus_suus_tamquam_coepio_possum","supo_jam_unus_lego_metior_mors_rapio","suus_neo_facio_magnus_alius_verbum_sui","totus_suus_pectus_omnis_lacrima_malus_lego","nitor_tellus_omnis_caelus_magnus_peto_sanguis"
"possum",0.00960896715031496,1.18726774074822e-05,0.00567816989185038,0.00322096320915729,0.0110480740519558,1.42294064914552e-05,1.47000455701413e-05,0.000753023166536241,0.0039623868945532
"video",0.00686616016164276,0.00476094364040035,0.00567816989185038,0.00450421548372195,1.29824606956002e-05,1.42294064914552e-05,0.0117747365016832,1.47651601281616e-05,1.9713367634593e-05
"supo",9.14268996224069e-06,0.00357367589965213,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.0242042204419654,1.47000455701413e-05,0.00961211924343319,1.9713367634593e-05
"malus",0.00778042915786683,1.18726774074822e-05,0.011343749606557,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.0125651512690655,1.9713367634593e-05
"nitor",0.00732329465975479,1.18726774074822e-05,0.0119732584637466,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0148047390935794
"sinum",0.00092341168618631,0.0089163807330191,0.00504866103466076,0.00514584162100427,0.00650421280849572,1.42294064914552e-05,0.00515971599511958,1.47651601281616e-05,1.9713367634593e-05
"parvus",0.00366621867485852,0.00654184525152267,0.00378964332028152,0.00450421548372195,0.00325859763459566,0.00214864038020974,0.00589471827362665,1.47651601281616e-05,1.9713367634593e-05
"jubeo",0.00915183265220293,0.00772911299227089,0.00253062560590227,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.00665908721780088,1.9713367634593e-05
"idem",9.14268996224069e-06,0.0172272549182566,0.00127160789152303,1.28325227456466e-05,1.29824606956002e-05,0.00357158102935527,0.00148470460258427,0.00444431319857664,1.9713367634593e-05
"pars",0.00778042915786683,0.00951001460339321,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.00499452167850079,0.00295470915959839,1.47651601281616e-05,1.9713367634593e-05
"volo",0.0123517741389872,1.18726774074822e-05,0.00190111674871265,1.28325227456466e-05,0.00455684370415569,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.00691939203974215
"multus",0.00366621867485852,1.18726774074822e-05,1.25901771437924e-05,0.0115621029938276,0.00585508977371571,0.00570599200307355,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"unus",0.00366621867485852,1.18726774074822e-05,0.00253062560590227,0.00899559844469824,1.29824606956002e-05,0.0121092249242284,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"scio",0.00732329465975479,1.18726774074822e-05,0.00630767874904,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,0.00809972510914784,1.47651601281616e-05,1.9713367634593e-05
"oculus",0.00412335317297055,0.00772911299227089,1.25901771437924e-05,0.0057874677582866,1.29824606956002e-05,1.42294064914552e-05,0.00589471827362665,1.47651601281616e-05,0.00100538174936424
"primus",0.00549475666730666,0.00772911299227089,1.25901771437924e-05,1.28325227456466e-05,0.00650421280849572,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.00494805527628285
"do",0.00732329465975479,0.00476094364040035,1.25901771437924e-05,1.28325227456466e-05,0.00455684370415569,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0079050604214718
"solus",9.14268996224069e-06,1.18726774074822e-05,0.0107142407493673,1.28325227456466e-05,1.29824606956002e-05,0.00641746232764631,1.47000455701413e-05,0.00961211924343319,1.9713367634593e-05
"tuus",0.00686616016164276,1.18726774074822e-05,0.00378964332028152,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,0.00956972966616196,1.47651601281616e-05,1.9713367634593e-05
"venio",9.14268996224069e-06,1.18726774074822e-05,0.0138617850353154,1.28325227456466e-05,0.00780245887805575,0.00214864038020974,1.47000455701413e-05,1.47651601281616e-05,0.00199105013109389
"verus",0.00458048767108259,1.18726774074822e-05,1.25901771437924e-05,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,0.00662972055213371,0.0110886352562494,1.9713367634593e-05
"dies",0.00320908417674648,1.18726774074822e-05,1.25901771437924e-05,0.0109204768565452,0.00780245887805575,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"quisquis",0.00503762216919462,1.18726774074822e-05,0.00567816989185038,1.28325227456466e-05,0.0103989510171758,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"alter",0.00549475666730666,0.00594821138114856,0.00190111674871265,1.28325227456466e-05,1.29824606956002e-05,0.00641746232764631,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"lego",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.0113977545996556,1.47000455701413e-05,0.0125651512690655,1.9713367634593e-05
"rideo",9.14268996224069e-06,0.0112909162145155,0.000642099034333413,1.28325227456466e-05,0.00131122853025562,0.00143717005563698,1.47000455701413e-05,1.47651601281616e-05,0.00889072880320145
"vultus",9.14268996224069e-06,0.00357367589965213,1.25901771437924e-05,0.00257933707187496,1.29824606956002e-05,1.42294064914552e-05,0.00956972966616196,0.00444431319857664,0.0039623868945532
"modus",0.00960896715031496,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00585508977371571,1.42294064914552e-05,1.47000455701413e-05,0.00149128117294432,1.9713367634593e-05
"nox",9.14268996224069e-06,1.18726774074822e-05,0.00693718760622962,0.0057874677582866,1.29824606956002e-05,0.00357158102935527,1.47000455701413e-05,1.47651601281616e-05,0.00691939203974215
"pono",0.00503762216919462,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.00784040297679184,1.47000455701413e-05,0.00739734522420896,1.9713367634593e-05
"terra",9.14268996224069e-06,0.0011991404181557,1.25901771437924e-05,0.00514584162100427,0.0103989510171758,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0059337236580125
"aliquis",0.00458048767108259,0.00476094364040035,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00956972966616196,1.47651601281616e-05,1.9713367634593e-05
"aurum",9.14268996224069e-06,1.18726774074822e-05,0.00127160789152303,0.00193771093459263,1.29824606956002e-05,0.00784040297679184,0.00736472283064077,1.47651601281616e-05,0.00494805527628285
"morior",0.00595189116541869,1.18726774074822e-05,0.00504866103466076,1.28325227456466e-05,1.29824606956002e-05,0.00570599200307355,0.000749702324077205,0.000753023166536241,1.9713367634593e-05
"mulier",0.00092341168618631,0.00654184525152267,1.25901771437924e-05,0.00642909389556893,0.0052059667389357,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"ingens",9.14268996224069e-06,0.00179277428852981,0.00441915217747114,1.28325227456466e-05,0.00131122853025562,0.00499452167850079,0.00662972055213371,1.47651601281616e-05,0.00199105013109389
"intro",0.000466277188074275,0.0089163807330191,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.00712893265221908,0.00295470915959839,1.47651601281616e-05,1.9713367634593e-05
"animus",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00780245887805575,1.42294064914552e-05,0.00662972055213371,0.00296779718576048,0.0039623868945532
"fides",9.14268996224069e-06,1.18726774074822e-05,0.0107142407493673,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00295470915959839,0.0059208292113928,1.9713367634593e-05
"ito",0.00549475666730666,1.18726774074822e-05,0.00190111674871265,0.000654458660027975,1.29824606956002e-05,0.00428305135392803,0.00515971599511958,1.47651601281616e-05,1.9713367634593e-05
"dominus",0.00183768068241038,0.00179277428852981,0.00441915217747114,1.28325227456466e-05,0.00650421280849572,1.42294064914552e-05,0.00221970688109133,0.000753023166536241,1.9713367634593e-05
"duo",0.00275194967863445,0.0011991404181557,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.00712893265221908,1.47000455701413e-05,0.00739734522420896,1.9713367634593e-05
"vox",9.14268996224069e-06,0.00594821138114856,0.00819620532060886,0.00257933707187496,0.000662105495475612,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"fero",9.14268996224069e-06,1.18726774074822e-05,0.00693718760622962,1.28325227456466e-05,1.29824606956002e-05,0.00143717005563698,1.47000455701413e-05,0.00444431319857664,0.0079050604214718
"pectus",0.000466277188074275,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.0140416672818817,0.00691939203974215
"liber",9.14268996224069e-06,1.18726774074822e-05,0.00504866103466076,1.28325227456466e-05,0.00390772066937567,0.00570599200307355,1.47000455701413e-05,1.47651601281616e-05,0.0039623868945532
"metior",0.00366621867485852,0.00238640815890391,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.00997481395051012,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"deus",0.00275194967863445,1.18726774074822e-05,0.00378964332028152,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0079050604214718
"frater",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00585508977371571,1.42294064914552e-05,0.00736472283064077,0.00444431319857664,1.9713367634593e-05
"locus",0.00366621867485852,0.00594821138114856,1.25901771437924e-05,1.28325227456466e-05,0.00455684370415569,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"mille",9.14268996224069e-06,1.18726774074822e-05,0.00693718760622962,1.28325227456466e-05,0.00390772066937567,0.00570599200307355,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"tantus",9.14268996224069e-06,1.18726774074822e-05,0.011343749606557,1.28325227456466e-05,0.00455684370415569,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"caelus",0.00503762216919462,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0128334023301201
"mens",9.14268996224069e-06,1.18726774074822e-05,0.0031601344630919,0.00257933707187496,0.00455684370415569,0.00214864038020974,1.47000455701413e-05,1.47651601281616e-05,0.00494805527628285
"soleo",0.00595189116541869,0.00060550654778159,1.25901771437924e-05,0.00514584162100427,0.000662105495475612,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.00100538174936424
"verbum",0.00275194967863445,0.00060550654778159,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.0125097387801902,1.47651601281616e-05,1.9713367634593e-05
"vinum",0.00320908417674648,0.00535457751077445,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00589471827362665,1.47651601281616e-05,1.9713367634593e-05
"ago",0.00275194967863445,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.0052059667389357,1.42294064914552e-05,0.00148470460258427,0.00518257120498472,1.9713367634593e-05
"longus",9.14268996224069e-06,1.18726774074822e-05,0.00630767874904,0.00193771093459263,0.00131122853025562,1.42294064914552e-05,0.00589471827362665,1.47651601281616e-05,1.9713367634593e-05
"mors",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00196035156503564,0.00997481395051012,0.00368971143810546,1.47651601281616e-05,0.00100538174936424
"nosco",0.00138054618429834,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00260947459981565,1.42294064914552e-05,0.00809972510914784,1.47651601281616e-05,0.00494805527628285
"pater",0.00092341168618631,1.18726774074822e-05,0.00504866103466076,1.28325227456466e-05,0.00845158191283576,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"uter",9.14268996224069e-06,1.18726774074822e-05,0.00567816989185038,1.28325227456466e-05,1.29824606956002e-05,0.00428305135392803,0.00589471827362665,1.47651601281616e-05,1.9713367634593e-05
"bellus",0.00275194967863445,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.000725699731064217,0.00442471371661252,0.00370605519216856,0.0039623868945532
"domus",0.00092341168618631,1.18726774074822e-05,0.00567816989185038,0.00707072003285126,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"gratia",0.00366621867485852,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00515971599511958,0.00518257120498472,1.9713367634593e-05
"injurius",9.14268996224069e-06,0.00060550654778159,1.25901771437924e-05,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,0.00956972966616196,1.47651601281616e-05,0.00297671851282355
"navis",9.14268996224069e-06,1.18726774074822e-05,0.00504866103466076,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,0.00515971599511958,0.00149128117294432,1.9713367634593e-05
"patior",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,0.00835397230741592,0.00585508977371571,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"plenus",9.14268996224069e-06,0.00654184525152267,1.25901771437924e-05,1.28325227456466e-05,0.000662105495475612,0.00499452167850079,1.47000455701413e-05,1.47651601281616e-05,0.00297671851282355
"tollo",0.00412335317297055,1.18726774074822e-05,0.00190111674871265,1.28325227456466e-05,1.29824606956002e-05,0.00641746232764631,1.47000455701413e-05,0.000753023166536241,1.9713367634593e-05
"affero",0.00412335317297055,0.00713547912189678,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"alo",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00260947459981565,0.00641746232764631,1.47000455701413e-05,1.47651601281616e-05,0.0079050604214718
"amicus",0.00732329465975479,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00325859763459566,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"for",0.00412335317297055,1.18726774074822e-05,1.25901771437924e-05,0.00642909389556893,1.29824606956002e-05,0.00143717005563698,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"irascor",0.00732329465975479,1.18726774074822e-05,0.0031601344630919,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"iste",0.00458048767108259,1.18726774074822e-05,0.0031601344630919,1.28325227456466e-05,0.00390772066937567,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"medius",0.00183768068241038,1.18726774074822e-05,1.25901771437924e-05,0.00514584162100427,1.29824606956002e-05,0.00641746232764631,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"noster",0.00229481518052241,0.00416730977002624,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.000725699731064217,1.47000455701413e-05,1.47651601281616e-05,0.0079050604214718
"rogo",0.00503762216919462,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00325859763459566,0.00357158102935527,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"circo",9.14268996224069e-06,0.00476094364040035,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.0085518733013646,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"eo",0.00320908417674648,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.0052059667389357,0.00214864038020974,1.47000455701413e-05,0.00149128117294432,1.9713367634593e-05
"fortis",9.14268996224069e-06,1.18726774074822e-05,0.0031601344630919,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.00739734522420896,1.9713367634593e-05
"hercules",0.00320908417674648,1.18726774074822e-05,0.00630767874904,0.00193771093459263,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"osculum",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,0.00193771093459263,0.0052059667389357,1.42294064914552e-05,1.47000455701413e-05,0.00665908721780088,1.9713367634593e-05
"quaero",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00956972966616196,1.47651601281616e-05,0.00691939203974215
"sanguis",9.14268996224069e-06,1.18726774074822e-05,0.00378964332028152,1.28325227456466e-05,0.00260947459981565,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0098763971849311
"turbo",9.14268996224069e-06,0.00476094364040035,0.00190111674871265,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00295470915959839,1.47651601281616e-05,0.00494805527628285
"ulter",9.14268996224069e-06,0.00060550654778159,0.00190111674871265,1.28325227456466e-05,0.00715333584327573,1.42294064914552e-05,1.47000455701413e-05,0.00370605519216856,1.9713367634593e-05
"annus",0.00092341168618631,1.18726774074822e-05,0.0031601344630919,1.28325227456466e-05,0.00780245887805575,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"aqua",9.14268996224069e-06,0.00416730977002624,1.25901771437924e-05,0.00450421548372195,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.00494805527628285
"duco",9.14268996224069e-06,1.18726774074822e-05,0.00441915217747114,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.0059208292113928,0.0039623868945532
"frons",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.00428305135392803,0.00368971143810546,0.00518257120498472,0.00100538174936424
"invenio",9.14268996224069e-06,1.18726774074822e-05,0.00504866103466076,0.00193771093459263,1.29824606956002e-05,1.42294064914552e-05,0.00589471827362665,1.47651601281616e-05,1.9713367634593e-05
"lacrima",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.000662105495475612,1.42294064914552e-05,1.47000455701413e-05,0.0133034092754736,1.9713367634593e-05
"mare",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,0.00450421548372195,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.00887386123702512,1.9713367634593e-05
"nascor",0.00366621867485852,1.18726774074822e-05,1.25901771437924e-05,0.0012960847973103,1.29824606956002e-05,0.00641746232764631,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"nomen",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,0.0057874677582866,1.29824606956002e-05,1.42294064914552e-05,0.00442471371661252,0.00296779718576048,1.9713367634593e-05
"placeo",0.00229481518052241,0.00060550654778159,0.00253062560590227,0.000654458660027975,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0079050604214718
"planus",9.14268996224069e-06,0.00476094364040035,0.00253062560590227,0.00322096320915729,1.29824606956002e-05,1.42294064914552e-05,0.00148470460258427,1.47651601281616e-05,1.9713367634593e-05
"relinquo",9.14268996224069e-06,0.00179277428852981,0.00441915217747114,0.00193771093459263,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0059337236580125
"amo",9.14268996224069e-06,1.18726774074822e-05,0.00190111674871265,1.28325227456466e-05,0.00715333584327573,1.42294064914552e-05,1.47000455701413e-05,0.00296779718576048,1.9713367634593e-05
"credo",9.14268996224069e-06,1.18726774074822e-05,0.00630767874904,0.000654458660027975,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.00518257120498472,1.9713367634593e-05
"diligens",0.00138054618429834,0.0089163807330191,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"fortuna",9.14268996224069e-06,0.00179277428852981,1.25901771437924e-05,0.00450421548372195,1.29824606956002e-05,0.00570599200307355,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"jacio",9.14268996224069e-06,1.18726774074822e-05,0.00630767874904,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.0059208292113928,1.9713367634593e-05
"paro",0.00549475666730666,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00442471371661252,1.47651601281616e-05,1.9713367634593e-05
"pedis",0.00138054618429834,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.0110886352562494,1.9713367634593e-05
"populus",0.00458048767108259,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.0079050604214718
"redeo",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00325859763459566,1.42294064914552e-05,0.00221970688109133,0.00665908721780088,0.00100538174936424
"sequor",9.14268996224069e-06,0.00357367589965213,0.00253062560590227,1.28325227456466e-05,1.29824606956002e-05,0.00357158102935527,1.47000455701413e-05,0.0022295391793524,1.9713367634593e-05
"superus",0.00275194967863445,0.0011991404181557,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00368971143810546,1.47651601281616e-05,0.00494805527628285
"vir",9.14268996224069e-06,1.18726774074822e-05,0.00190111674871265,1.28325227456466e-05,0.00974982798239578,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"ars",9.14268996224069e-06,1.18726774074822e-05,0.00253062560590227,1.28325227456466e-05,0.00455684370415569,1.42294064914552e-05,0.00442471371661252,1.47651601281616e-05,1.9713367634593e-05
"carmen",9.14268996224069e-06,0.00476094364040035,0.00253062560590227,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.00368971143810546,1.47651601281616e-05,1.9713367634593e-05
"cervix",0.00138054618429834,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,0.00570599200307355,1.47000455701413e-05,0.00444431319857664,1.9713367634593e-05
"domina",0.00183768068241038,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00390772066937567,1.42294064914552e-05,0.00515971599511958,1.47651601281616e-05,1.9713367634593e-05
"genus",9.14268996224069e-06,0.00357367589965213,1.25901771437924e-05,0.00707072003285126,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"moveo",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,0.00196035156503564,0.00428305135392803,1.47000455701413e-05,1.47651601281616e-05,0.0079050604214718
"nemo",0.00458048767108259,1.18726774074822e-05,0.00441915217747114,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
"orbis",0.000466277188074275,0.00357367589965213,1.25901771437924e-05,1.28325227456466e-05,0.00196035156503564,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,0.00691939203974215
"ratio",9.14268996224069e-06,0.00060550654778159,1.25901771437924e-05,0.00450421548372195,0.00325859763459566,1.42294064914552e-05,1.47000455701413e-05,0.0022295391793524,0.00100538174936424
"tristis",9.14268996224069e-06,1.18726774074822e-05,1.25901771437924e-05,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,0.0088347273876549,0.00370605519216856,1.9713367634593e-05
"vestis",9.14268996224069e-06,1.18726774074822e-05,0.00693718760622962,1.28325227456466e-05,1.29824606956002e-05,1.42294064914552e-05,1.47000455701413e-05,0.00444431319857664,1.9713367634593e-05
"cena",9.14268996224069e-06,0.00298004202927802,1.25901771437924e-05,0.00450421548372195,0.00260947459981565,1.42294064914552e-05,1.47000455701413e-05,1.47651601281616e-05,1.9713367634593e-05
